SWEAT index,K index,Totals totals index,Date,TH,Environmental Stability,Moisture Indices,Convective Potential,Temperature Pressure,Moisture Temperature Profiles
427.4,43.5,54.2,1981-05-20,0,6.999999999999999,76.4,-309.6,5902,974.66
228.8,36.3,45.4,1981-05-21,0,2.6,54.3,488.1,5764,958.72
229.8,18.6,49.8,1981-05-22,0,-1.2000000000000002,45.3,962.9,5814,985.09
149.4,17.6,46.4,1981-05-23,0,-3.3000000000000003,37.2,693.7,5769,980.09
298.0,32.4,50.0,1981-05-24,0,-2.7,52.9,2415.2,5795,979.84
147.3,30.5,46.8,1981-05-25,1,-3.2,45.5,673.1,5785,958.72
229.3,33.5,48.4,1981-05-26,1,1.6,48.4,277.2,5740,969.74
262.0,39.3,49.4,1981-05-27,1,-0.09999999999999964,54.7,-27.3,5746,990.22
217.1,23.2,45.4,1981-05-28,1,3.5,50.9,306.79999999999995,5785,995.13
196.4,33.7,45.2,1981-05-29,1,9.0,53.7,-400.4,5832,942.06
165.7,27.5,46.4,1981-05-30,1,-3.0,38.4,841.0,5755,982.68
360.4,37.7,54.8,1981-05-31,0,-11.1,48.5,2.5,5757,979.81
139.5,27.5,43.4,1981-06-01,0,0.7999999999999998,40.9,-3.3,5754,979.5
218.6,35.9,44.2,1981-06-02,0,4.0,45.4,1534.3,5758,936.01
211.5,15.0,43.2,1981-06-03,0,1.0,33.6,1656.6,5765,923.59
113.3,12.4,43.6,1981-06-04,1,-10.100000000000001,26.4,5800.400000000001,5748,879.7
259.6,37.9,52.4,1981-06-05,0,-1.4000000000000004,40.8,722.6999999999999,5754,847.29
334.7,40.3,54.6,1981-06-06,0,-5.5,44.4,1647.2,5736,897.53
271.3,29.0,54.6,1981-06-07,0,-2.1999999999999997,29.2,-72.0,5714,806.48
185.7,32.3,47.8,1981-06-08,0,-0.6000000000000005,35.7,935.1999999999999,5742,895.14
212.2,31.0,48.2,1981-06-09,0,-3.7,34.1,2410.0,5722,911.07
222.0,32.3,47.2,1981-06-10,1,-3.6999999999999997,51.5,2508.7000000000003,5767,974.69
209.2,35.9,49.4,1981-06-11,0,-3.3000000000000003,43.2,3003.2999999999997,5769,931.12
158.1,21.8,40.2,1981-06-12,0,7.699999999999999,31.1,-120.30000000000001,5787,878.16
133.3,19.0,43.2,1981-06-13,0,-1.6999999999999997,26.4,3088.2,5731,889.4
31.0,19.0,37.9,1981-06-14,0,-4.7,19.7,3414.2000000000003,5721,840.1
257.3,33.0,50.6,1981-06-15,0,17.7,37.4,0.0,5764,723.26
165.9,15.2,43.2,1981-06-16,1,-12.5,32.5,6395.4,5786,935.59
226.5,30.5,40.8,1981-06-17,0,9.0,44.8,-4.6000000000000005,5775,936.09
253.0,36.3,47.0,1981-06-18,1,0.40000000000000036,47.8,2696.7999999999997,5763,931.14
265.0,38.3,45.6,1981-06-19,1,3.1999999999999997,52.2,9.7,5780,928.62
292.6,39.9,44.6,1981-06-20,0,2.9000000000000004,46.6,18.900000000000002,5759,933.64
312.1,35.3,42.0,1981-06-21,0,5.699999999999999,55.0,1807.7,5697,935.95
332.8,37.5,43.8,1981-06-22,0,4.1000000000000005,52.7,2110.4,5743,949.99
242.1,32.5,43.0,1981-06-23,0,-5.9,48.1,7243.3,5767,942.96
223.5,33.1,44.2,1981-06-24,0,2.1000000000000005,45.8,1838.7,5778,938.34
227.7,37.3,47.8,1981-06-25,0,-4.1,62.1,3578.3,5800,982.44
277.8,42.5,45.4,1981-06-26,0,6.6,78.3,1177.3,5870,977.28
257.9,30.5,43.2,1981-06-27,0,1.6999999999999997,59.9,2794.3,5828,982.44
225.5,30.5,42.8,1981-06-28,0,0.2999999999999998,53.7,1940.8,5796,977.28
201.0,31.1,43.2,1981-06-29,0,-4.800000000000001,48.0,3043.0,5760,985.03
297.0,45.3,50.4,1981-06-30,0,-2.5999999999999996,62.0,4062.8,5785,942.98
284.2,42.7,47.8,1981-07-01,1,1.2000000000000002,70.6,1656.3,5772,962.77
275.7,38.3,42.8,1981-07-02,1,3.7,56.7,1339.5,5772,902.77
255.0,39.3,45.0,1981-07-03,1,2.6,51.3,2081.9,5739,918.68
242.9,36.1,43.0,1981-07-04,0,4.1,49.5,1429.2,5778,910.87
182.1,31.1,43.2,1981-07-05,0,6.8999999999999995,38.1,-43.39999999999998,5735,863.52
238.5,36.5,46.8,1981-07-06,0,-0.8999999999999995,48.3,3782.7,5763,945.37
237.6,32.9,41.0,1981-07-07,0,3.8,47.7,2206.2999999999997,5741,940.73
175.1,30.3,43.4,1981-07-08,0,-3.6,35.3,3793.1,5691,933.59
263.4,41.5,47.2,1981-07-09,1,2.4000000000000004,57.4,2514.4,5767,949.99
225.3,34.2,35.0,1981-07-10,1,10.5,39.7,88.0,5860,923.73
